Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Product ID,Sales,Quantity,Discount,Profit
CA-2020-152156,2020-11-08,2020-11-11,Second Class,CG-12520,FUR-BO-10001798,261.96,2,0,41.9136
CA-2020-152156,2020-11-08,2020-11-11,Second Class,CG-12520,FUR-CH-10000454,731.94,3,0,219.582
CA-2020-138688,2020-06-12,2020-06-16,Second Class,DV-13045,OFF-LA-10000240,14.62,2,0,6.8714
US-2019-108966,2019-10-11,2019-10-18,Standard Class,SO-20335,FUR-TA-10000577,957.5775,5,0.45,-383.031
US-2019-108966,2019-10-11,2019-10-18,Standard Class,SO-20335,OFF-ST-10000760,22.368,2,0.2,2.5164
CA-2018-115812,2018-06-09,2018-06-14,Standard Class,BH-11710,FUR-FU-10001487,48.86,7,0,14.1694
CA-2018-115812,2018-06-09,2018-06-14,Standard Class,BH-11710,OFF-AR-10002833,7.28,4,0,1.9656
CA-2018-115812,2018-06-09,2018-06-14,Standard Class,BH-11710,TEC-PH-10002275,907.152,6,0.2,90.7152
CA-2018-115812,2018-06-09,2018-06-14,Standard Class,BH-11710,OFF-BI-10003910,18.504,3,0.2,5.7825
CA-2018-115812,2018-06-09,2018-06-14,Standard Class,BH-11710,OFF-AP-10002892,114.9,5,0,34.47
CA-2018-115812,2018-06-09,2018-06-14,Standard Class,BH-11710,FUR-TA-10001539,1706.184,9,0.2,85.3092
CA-2018-115812,2018-06-09,2018-06-14,Standard Class,BH-11710,TEC-PH-10002033,911.424,4,0.2,68.3568
CA-2021-114412,2021-04-15,2021-04-20,Standard Class,AA-10480,OFF-PA-10002365,15.552,3,0.2,5.4432
CA-2020-161389,2020-12-05,2020-12-10,Standard Class,IM-15070,OFF-BI-10003656,407.976,3,0.2,132.5922
US-2019-118983,2019-11-22,2019-11-26,Standard Class,HP-14815,OFF-AP-10002311,68.81,5,0.8,-123.858
US-2019-118983,2019-11-22,2019-11-26,Standard Class,HP-14815,OFF-BI-10000756,2.544,3,0.8,-3.816
CA-2018-105893,2018-11-11,2018-11-18,Standard Class,PK-19075,OFF-ST-10004186,665.88,6,0,13.3176
CA-2018-167164,2018-05-13,2018-05-15,Second Class,AG-10270,OFF-ST-10000107,55.5,2,0,9.99
CA-2018-143336,2018-08-27,2018-09-01,Second Class,ZD-21925,OFF-AR-10003056,8.56,2,0,2.4824
CA-2018-143336,2018-08-27,2018-09-01,Second Class,ZD-21925,TEC-PH-10001949,213.48,3,0.2,16.011
CA-2018-143336,2018-08-27,2018-09-01,Second Class,ZD-21925,OFF-BI-10002215,22.72,4,0.2,7.384
CA-2020-137330,2020-12-09,2020-12-13,Standard Class,KB-16585,OFF-AR-10000246,19.46,7,0,5.0596
CA-2020-137330,2020-12-09,2020-12-13,Standard Class,KB-16585,OFF-AP-10001492,60.34,7,0,15.6884
US-2021-156909,2021-07-16,2021-07-18,Second Class,SF-20065,FUR-CH-10002774,71.372,2,0.3,-1.0196
CA-2019-106320,2019-09-25,2019-09-30,Standard Class,EB-13870,FUR-TA-10000577,1044.63,3,0,240.2649
CA-2020-121755,2020-01-16,2020-01-20,Second Class,EH-13945,OFF-BI-10001634,11.648,2,0.2,4.2224
CA-2020-121755,2020-01-16,2020-01-20,Second Class,EH-13945,TEC-AC-10003027,90.57,3,0,11.7741
US-2019-150630,2019-09-17,2019-09-21,Standard Class,TB-21520,FUR-BO-10004834,3083.43,7,0.5,-1665.0522
US-2019-150630,2019-09-17,2019-09-21,Standard Class,TB-21520,OFF-BI-10000474,9.618,2,0.7,-7.0532
US-2019-150630,2019-09-17,2019-09-21,Standard Class,TB-21520,FUR-FU-10004848,124.2,3,0.2,15.525
US-2019-150630,2019-09-17,2019-09-21,Standard Class,TB-21520,OFF-EN-10001509,3.264,2,0.2,1.1016
US-2019-150630,2019-09-17,2019-09-21,Standard Class,TB-21520,OFF-AR-10004042,86.304,6,0.2,9.7092
US-2019-150630,2019-09-17,2019-09-21,Standard Class,TB-21520,OFF-BI-10001525,6.858,6,0.7,-5.715
US-2019-150630,2019-09-17,2019-09-21,Standard Class,TB-21520,OFF-AR-10001683,15.76,2,0.2,3.546
CA-2021-107727,2021-10-19,2021-10-23,Second Class,MA-17560,OFF-PA-10000249,29.472,3,0.2,9.9468
CA-2020-117590,2020-12-08,2020-12-10,First Class,GH-14485,TEC-PH-10004977,1097.544,7,0.2,123.4737
CA-2020-117590,2020-12-08,2020-12-10,First Class,GH-14485,FUR-FU-10003664,190.92,5,0.6,-147.963
CA-2019-117415,2019-12-27,2019-12-31,Standard Class,SN-20710,OFF-EN-10002986,113.328,9,0.2,35.415
CA-2019-117415,2019-12-27,2019-12-31,Standard Class,SN-20710,FUR-BO-10002545,532.3992,3,0.32,-46.9764
CA-2019-117415,2019-12-27,2019-12-31,Standard Class,SN-20710,FUR-CH-10004218,212.058,3,0.3,-15.147
CA-2019-117415,2019-12-27,2019-12-31,Standard Class,SN-20710,TEC-PH-10000486,371.168,4,0.2,41.7564
CA-2021-120999,2021-09-10,2021-09-15,Standard Class,LC-16930,TEC-PH-10004093,147.168,4,0.2,16.5564
CA-2020-101343,2020-07-17,2020-07-22,Standard Class,RA-19885,OFF-ST-10003479,77.88,2,0,3.894
CA-2021-139619,2021-09-19,2021-09-23,Standard Class,ES-14080,OFF-ST-10003282,95.616,2,0.2,9.5616
CA-2020-118255,2020-03-11,2020-03-13,First Class,ON-18715,TEC-AC-10000171,45.98,2,0,19.7714
CA-2020-118255,2020-03-11,2020-03-13,First Class,ON-18715,OFF-BI-10003291,17.46,2,0,8.2062
CA-2018-146703,2018-10-20,2018-10-25,Second Class,PO-18865,OFF-ST-10001713,211.96,4,0,8.4784
CA-2020-169194,2020-06-20,2020-06-25,Standard Class,LH-16900,TEC-AC-10002167,45,3,0,4.95
CA-2020-169194,2020-06-20,2020-06-25,Standard Class,LH-16900,TEC-PH-10003988,21.8,2,0,6.104
CA-2019-115742,2019-04-18,2019-04-22,Standard Class,DP-13000,OFF-BI-10004410,38.22,6,0,17.9634
CA-2019-115742,2019-04-18,2019-04-22,Standard Class,DP-13000,OFF-LA-10002762,75.18,6,0,35.3346
CA-2019-115742,2019-04-18,2019-04-22,Standard Class,DP-13000,FUR-FU-10001706,6.16,2,0,2.9568
CA-2019-115742,2019-04-18,2019-04-22,Standard Class,DP-13000,FUR-CH-10003061,89.99,1,0,17.0981
CA-2020-105816,2020-12-11,2020-12-17,Standard Class,JM-15265,OFF-FA-10000304,15.26,7,0,6.2566
CA-2020-105816,2020-12-11,2020-12-17,Standard Class,JM-15265,TEC-PH-10002447,1029.95,5,0,298.6855
CA-2020-111682,2020-06-17,2020-06-18,First Class,TB-21055,OFF-ST-10000604,208.56,6,0,52.14
CA-2020-111682,2020-06-17,2020-06-18,First Class,TB-21055,OFF-PA-10001569,32.4,5,0,15.552
CA-2020-111682,2020-06-17,2020-06-18,First Class,TB-21055,FUR-CH-10003968,319.41,5,0.1,7.098
CA-2020-111682,2020-06-17,2020-06-18,First Class,TB-21055,OFF-PA-10000587,14.56,2,0,6.9888
CA-2020-111682,2020-06-17,2020-06-18,First Class,TB-21055,TEC-AC-10002167,30,2,0,3.3
CA-2020-111682,2020-06-17,2020-06-18,First Class,TB-21055,OFF-BI-10001460,48.48,4,0.2,16.362
CA-2020-111682,2020-06-17,2020-06-18,First Class,TB-21055,OFF-AR-10001868,1.68,1,0,0.84
CA-2019-135545,2019-11-24,2019-11-30,Standard Class,KM-16720,TEC-AC-10004633,13.98,2,0,6.1512
CA-2019-135545,2019-11-24,2019-11-30,Standard Class,KM-16720,OFF-BI-10001078,25.824,6,0.2,9.3612
CA-2019-135545,2019-11-24,2019-11-30,Standard Class,KM-16720,OFF-PA-10003892,146.73,3,0,68.9631
CA-2019-135545,2019-11-24,2019-11-30,Standard Class,KM-16720,FUR-FU-10000397,79.76,4,0,22.3328
US-2019-164175,2019-04-30,2019-05-05,Standard Class,PS-18970,FUR-CH-10001146,213.115,5,0.3,-15.2225
CA-2018-106376,2018-12-05,2018-12-10,Standard Class,BS-11590,OFF-AR-10002671,1113.024,8,0.2,111.3024
CA-2018-106376,2018-12-05,2018-12-10,Standard Class,BS-11590,TEC-PH-10002726,167.968,4,0.2,62.988
CA-2020-119823,2020-06-04,2020-06-06,First Class,KD-16270,OFF-PA-10000482,75.88,2,0,35.6636
CA-2020-106075,2020-09-18,2020-09-23,Standard Class,HM-14980,OFF-BI-10004654,4.616,1,0.2,1.731
CA-2021-114440,2021-09-14,2021-09-17,Second Class,TB-21520,OFF-PA-10004675,19.05,3,0,8.763
US-2019-134026,2019-04-26,2019-05-02,Standard Class,JE-15745,FUR-CH-10000513,831.936,8,0.2,-114.3912
US-2019-134026,2019-04-26,2019-05-02,Standard Class,JE-15745,FUR-FU-10003708,97.04,2,0.2,1.213
US-2019-134026,2019-04-26,2019-05-02,Standard Class,JE-15745,OFF-ST-10004123,72.784,1,0.2,-18.196
US-2021-118038,2021-12-09,2021-12-11,First Class,KB-16600,OFF-BI-10004182,1.248,3,0.8,-1.9344
US-2021-118038,2021-12-09,2021-12-11,First Class,KB-16600,FUR-FU-10000260,9.708,3,0.6,-5.8248
US-2021-118038,2021-12-09,2021-12-11,First Class,KB-16600,OFF-ST-10000615,27.24,3,0.2,2.724
US-2018-147606,2018-11-26,2018-12-01,Second Class,JE-15745,FUR-FU-10003194,19.3,5,0.6,-14.475
CA-2020-127208,2020-06-12,2020-06-15,First Class,SC-20770,OFF-AP-10002118,208.16,1,0,56.2032
CA-2020-127208,2020-06-12,2020-06-15,First Class,SC-20770,OFF-BI-10002309,16.74,3,0,8.0352
CA-2018-139451,2018-10-12,2018-10-16,Standard Class,DN-13690,OFF-AR-10002053,14.9,5,0,4.172
CA-2018-139451,2018-10-12,2018-10-16,Standard Class,DN-13690,OFF-ST-10002370,21.39,1,0,6.2031
CA-2019-149734,2019-09-03,2019-09-08,Standard Class,JC-16105,OFF-EN-10000927,200.984,7,0.2,62.8075
US-2021-119662,2021-11-13,2021-11-16,First Class,CS-12400,OFF-ST-10003656,230.376,3,0.2,-48.9549
CA-2021-140088,2021-05-28,2021-05-30,Second Class,PO-18865,FUR-CH-10000863,301.96,2,0,33.2156
CA-2021-155558,2021-10-26,2021-11-02,Standard Class,PG-18895,TEC-AC-10001998,19.99,1,0,6.7966
